,"Domestic, inbound and outbound tourism",2014,2015,2016,2017,2018
7,"TOURISM FLOWS, THOUSAND", , , , , 
8,Domestic tourism, , , , , 
9,Total domestic trips,,10258.9,,,12615.9
10,Overnight visitors (tourists),2572.3,2704.4,3253.6,3276.7,4399.1
11,Same-day visitors (excursionists),,7554.5,,,8216.8
12,Nights in all types of accommodation,1290.6,1649.2,2162.7,2245.3,2709.4
13,Hotels and similar establishments,,,,,
14,Other collective establishments,,,,,
15,Private accommodation,,,,,
16,Inbound tourism  (1), , , , , 
17,Total international arrivals,6193,5729,5964,6146.593,6032.823
18,Overnight visitors (tourists),2918,2989,3147,3244.903,3225.533
19,Same-day visitors (excursionists),3276,2740,2817,2901.69,2807.29
20,Top markets, , , , , 
21,Finland,916,1234,1280,1222.694,1145.376
22,Russian Federation,275,388,412,459.559,463.684
23,Latvia,113,246,265,291.852,297.878
24,Germany,113,211,221,220.203,245.408
25,Sweden,72,117,121,120.729,119.019
26,Nights in all types of accommodation,3919.299,3770.207,4014.581,4150.419,4174.552
27,Hotels and similar establishments,3919.299,3770.207,4014.581,4150.419,4163.526
28,Other collective establishments,,,,,11.026
29,Private accommodation,,,,,
30,Outbound tourism, , , , , 
31,Total international departures,3841,3596.252,3564.163,3605.597,3607.325
32,Overnight visitors (tourists),2712,3078.41,3052.648,3136.511,3087.506
33,Same-day visitors (excursionists),1129,517.842,511.515,469.086,519.819
34,Top destinations, , , , , 
35,Finland,576,565.753,574.411,561.124,519.78
36,Latvia,247,357.959,347.311,351.436,301.194
37,Russian Federation,233,213.538,218.808,219.689,254.581
38,Sweden,164,217.123,236.623,240.447,218.809
39,Germany,139,222.834,220.919,230.093,213.137
40,"TOURISM RECEIPTS AND EXPENDITURE, MILLION EUR", , , , , 
41,Inbound tourism, , , , , 
42,Total international receipts,1713.5,1696.8,1726.7,1873.9,1979.4
43,International travel receipts,1400.6,1346.9,1389.6,1464.9,1515.7
44,International passenger transport receipts,312.9,349.9,337.1,409,463.7
45,Outbound tourism, , , , , 
46,Total international expenditure,1013.8,1054.1,1173.7,1235.6,1400
47,International travel expenditure,890.1,924.7,1050.3,1105.9,1245.5
48,International passenger transport expenditure,123.7,129.4,123.4,129.7,154.5
49,Not available,,,,,
50,Break in series,,,,,
51,Arrivals from demand side surveys; Nights from supply side surveys.,,,,,
52,,,,,,
